date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,vix_close
2023-10-03,19622.400390625,19623.19921875,19479.650390625,19528.75,221700,42.58,1.6108,51.0396,-49.4289,20229.9,19790.72,19351.54,158.9289,11.789999961853027
2023-10-04,19446.30078125,19457.80078125,19333.599609375,19436.099609375,277100,39.38,-19.2058,36.9906,-56.1963,20238.66,19786.08,19333.51,161.5161,11.65999984741211
2023-10-05,19521.849609375,19576.94921875,19487.30078125,19545.75,234900,44.68,-26.5491,24.2826,-50.8317,20240.24,19784.62,19329.01,160.0399,10.9399995803833
2023-10-06,19621.19921875,19675.75,19589.400390625,19653.5,159100,49.36,-23.4044,14.7452,-38.1496,20239.34,19786.75,19334.15,157.8942,10.300000190734863
2023-10-09,19539.44921875,19588.94921875,19480.5,19512.349609375,165100,44.09,-31.9338,5.4094,-37.3432,20244.48,19776.01,19307.55,158.9732,11.399999618530273
2023-10-10,19565.599609375,19717.80078125,19565.44921875,19689.849609375,216600,51.15,-24.0929,-0.491,-23.6018,20239.01,19769.51,19300.0,162.2931,11.270000457763672
2023-10-11,19767.0,19839.19921875,19756.94921875,19811.349609375,213700,55.31,-7.9828,-1.9894,-5.9934,20218.09,19760.26,19302.42,161.3685,10.989999771118164
2023-10-12,19822.69921875,19843.30078125,19772.650390625,19794.0,217900,54.59,3.346,-0.9223,4.2683,20195.28,19750.3,19305.31,154.8887,10.619999885559082
2023-10-13,19654.55078125,19805.400390625,19635.30078125,19751.05078125,255000,52.78,8.7575,1.0136,7.7439,20153.18,19734.35,19315.52,155.9752,10.619999885559082
2023-10-16,19737.25,19781.30078125,19691.849609375,19731.75,181000,51.94,11.3579,3.0825,8.2754,20097.02,19715.78,19334.54,151.2234,11.069999694824219
2023-10-17,19843.19921875,19849.75,19775.650390625,19811.5,185800,55.11,19.6276,6.3915,13.2361,20009.68,19696.74,19383.8,148.8503,10.699999809265137
2023-10-18,19820.44921875,19840.94921875,19659.94921875,19671.099609375,198900,48.98,14.683,8.0498,6.6332,19909.64,19673.63,19437.62,151.1467,10.970000267028809
2023-10-19,19545.19921875,19681.80078125,19512.349609375,19624.69921875,230300,47.12,6.9402,7.8279,-0.8877,19870.69,19659.79,19448.9,152.4542,10.899999618530273
2023-10-20,19542.150390625,19593.80078125,19518.69921875,19542.650390625,198300,43.94,-5.7504,5.1122,-10.8626,19863.14,19649.81,19436.48,149.136,10.819999694824219
2023-10-23,19521.599609375,19556.849609375,19257.849609375,19281.75,176000,35.68,-36.4401,-3.1982,-33.2419,19899.04,19630.18,19361.33,159.8406,10.90999984741211
2023-10-25,19286.44921875,19347.30078125,19074.150390625,19122.150390625,225300,31.75,-72.8012,-17.1188,-55.6823,19953.27,19602.56,19251.86,167.9342,11.3100004196167
2023-10-26,19027.25,19041.69921875,18837.849609375,18857.25,300400,26.53,-121.5911,-38.0133,-83.5779,20044.13,19562.19,19080.26,176.2461,11.729999542236328
2023-10-27,18928.75,19076.150390625,18926.650390625,19047.25,205200,34.81,-143.2746,-59.0655,-84.209,20056.33,19528.73,19001.13,179.2928,10.90999984741211
2023-10-30,19053.400390625,19158.5,18940.0,19140.900390625,180100,38.49,-151.1596,-77.4844,-73.6752,20065.01,19509.6,18954.19,182.0933,11.489999771118164
2023-10-31,19232.94921875,19233.69921875,19056.44921875,19079.599609375,206000,37.02,-160.5047,-94.0884,-66.4163,20065.31,19481.66,18898.02,181.7474,11.829999923706055
2023-11-01,19064.05078125,19096.05078125,18973.69921875,18989.150390625,194100,34.9,-173.2127,-109.9133,-63.2994,20077.72,19454.68,18831.65,177.5048,12.050000190734863
2023-11-02,19120.0,19175.25,19064.150390625,19133.25,245600,40.73,-169.7,-121.8706,-47.8294,20078.98,19439.54,18800.1,178.1187,11.079999923706055
2023-11-03,19241.0,19276.25,19210.900390625,19230.599609375,189500,44.35,-157.2482,-128.9461,-28.302,20067.72,19423.78,18779.85,175.6102,10.880000114440918
2023-11-06,19345.849609375,19423.0,19309.69921875,19411.75,180700,50.43,-131.2497,-129.4068,-1.8429,20046.49,19411.7,18776.9,176.8095,11.109999656677246
2023-11-07,19404.05078125,19423.5,19329.099609375,19406.69921875,198700,50.26,-109.7878,-125.483,15.6953,20039.44,19406.41,18773.39,170.9232,11.1899995803833
2023-11-08,19449.599609375,19464.400390625,19401.5,19443.5,195000,51.51,-88.786,-118.1436,29.3576,20013.34,19394.1,18774.86,163.2073,11.039999961853027
2023-11-09,19457.400390625,19463.900390625,19378.349609375,19395.30078125,208400,49.75,-75.1648,-109.5479,34.383,19960.65,19373.3,18785.94,157.6604,10.979999542236328
2023-11-10,19351.849609375,19451.30078125,19329.44921875,19425.349609375,152200,50.88,-61.2393,-99.8862,38.6469,19908.81,19354.86,18800.91,155.1026,11.109999656677246
2023-11-13,19486.75,19494.400390625,19414.75,19443.55078125,189300,51.58,-48.1792,-89.5448,41.3656,19863.39,19339.49,18815.58,149.7132,11.1899995803833
2023-11-15,19651.400390625,19693.19921875,19579.650390625,19675.44921875,291500,59.56,-18.8988,-75.4156,56.5168,19852.24,19336.67,18821.1,156.8514,11.140000343322754
2023-11-16,19674.69921875,19875.25,19627.0,19765.19921875,282700,62.16,11.4166,-58.0491,69.4657,19841.29,19334.36,18827.42,163.3799,11.649999618530273
2023-11-17,19674.75,19806.0,19667.44921875,19731.80078125,236800,60.6,32.3736,-39.9646,72.3382,19853.46,19337.39,18821.32,161.6064,11.829999923706055
2023-11-20,19731.150390625,19756.44921875,19670.5,19694.0,173800,58.8,45.4085,-22.89,68.2985,19865.9,19340.86,18815.81,156.2023,12.149999618530273
2023-11-21,19770.900390625,19829.099609375,19754.05078125,19783.400390625,195000,61.7,62.2352,-5.8649,68.1002,19907.62,19352.9,18798.17,154.6949,12.229999542236328
2023-11-22,19784.0,19825.55078125,19703.849609375,19811.849609375,184500,62.6,76.9788,10.7038,66.275,19969.35,19379.4,18789.45,152.3382,11.869999885559082
2023-11-23,19828.44921875,19875.150390625,19786.75,19802.0,170000,62.05,86.867,25.9365,60.9306,20019.07,19413.39,18807.72,147.7713,11.319999694824219
2023-11-24,19809.599609375,19832.849609375,19768.849609375,19794.69921875,145900,61.62,93.0419,39.3575,53.6843,20028.67,19460.26,18891.86,141.7876,11.329999923706055
2023-11-28,19844.650390625,19916.849609375,19800.0,19889.69921875,229600,65.0,104.3978,52.3656,52.0322,20066.77,19502.39,18938.01,140.3849,12.180000305175781
2023-11-29,19976.55078125,20104.650390625,19956.30078125,20096.599609375,236200,71.0,128.61,67.6145,60.9955,20146.61,19550.17,18953.74,145.7111,12.710000038146973
2023-11-30,20108.5,20158.69921875,20015.849609375,20133.150390625,486600,71.91,149.0298,83.8975,65.1323,20210.29,19602.85,18995.41,145.5067,12.6899995803833
2023-12-01,20194.099609375,20291.55078125,20183.69921875,20267.900390625,265800,75.04,174.0791,101.9339,72.1453,20271.43,19666.79,19062.14,146.4277,12.380000114440918
2023-12-04,20601.94921875,20702.650390625,20507.75,20686.80078125,381100,81.81,225.1374,126.5746,98.5629,20451.07,19744.46,19037.86,167.0221,12.989999771118164
2023-12-05,20808.900390625,20864.05078125,20711.150390625,20855.099609375,421000,83.73,276.0003,156.4597,119.5406,20647.65,19825.69,19003.73,167.7527,13.460000038146973
2023-12-06,20950.75,20961.94921875,20852.150390625,20937.69921875,359200,84.58,319.2939,189.0266,130.2673,20837.59,19901.99,18966.38,163.6131,13.739999771118164
2023-12-07,20932.400390625,20941.25,20850.80078125,20901.150390625,275000,82.51,346.6592,220.5531,126.1061,20981.89,19976.71,18971.53,158.3871,12.670000076293945
2023-12-08,20934.099609375,21006.099609375,20862.69921875,20969.400390625,292400,83.33,369.5931,250.3611,119.232,21117.65,20053.0,18988.36,157.3167,12.470000267028809
2023-12-11,20965.30078125,21026.099609375,20923.69921875,20997.099609375,212900,83.67,385.559,277.4007,108.1583,21229.93,20133.09,19036.26,153.3941,12.760000228881836
