trade_id,entry_date,exit_date,symbol,strike,option_type,quantity,entry_price,exit_price,entry_signal,exit_signal,pnl_gross,pnl_net,friction_paid,holding_bars,is_win
1,2023-10-12,2023-10-13,NIFTY,19650.0,put,50,45.1,105.95,PDE_PUT_UNDERVALUED_-14.48,TAKE_PROFIT,3042.5,2968.61,73.89,1,True
2,2023-10-25,2023-10-26,NIFTY,19000.0,put,50,87.5,191.5,PDE_PUT_UNDERVALUED_-4.36,TAKE_PROFIT,5200.0,5101.02,98.98,1,True
3,2023-10-26,2023-10-30,NIFTY,18750.0,put,50,82.9,82.9,PDE_PUT_UNDERVALUED_-12.12,MEAN_REVERTED,0.0,-96.27,96.27,2,False
4,2023-10-30,2023-11-01,NIFTY,19000.0,put,50,77.3,125.35,PDE_PUT_UNDERVALUED_-7.57,TAKE_PROFIT,2402.5,2309.55,92.95,2,True
5,2023-11-02,2023-11-06,NIFTY,19000.0,put,50,43.9,43.9,PDE_PUT_UNDERVALUED_-30.97,MEAN_REVERTED,0.0,-73.18,73.18,2,False
6,2023-11-06,2023-11-13,NIFTY,19300.0,put,50,62.6,49.0,PDE_PUT_UNDERVALUED_-3.69,TIME_EXPIRY,-680.0,-764.25,84.25,5,False
7,2023-11-13,2023-11-16,NIFTY,19300.0,put,50,49.0,49.0,PDE_PUT_UNDERVALUED_-3.70,MEAN_REVERTED,0.0,-76.2,76.2,2,False
8,2023-11-16,2023-11-17,NIFTY,19650.0,put,50,42.15,78.05,PDE_PUT_UNDERVALUED_-10.92,TAKE_PROFIT,1795.0,1722.86,72.15,1,True
9,2023-11-17,2023-11-21,NIFTY,19600.0,put,50,64.45,40.15,PDE_PUT_UNDERVALUED_-32.49,STOP_LOSS,-1215.0,-1300.35,85.34,2,False
10,2023-11-21,2023-11-22,NIFTY,19650.0,put,50,49.65,30.75,PDE_PUT_UNDERVALUED_-28.51,STOP_LOSS,-945.0,-1021.58,76.59,1,False
11,2023-11-22,2023-11-24,NIFTY,19700.0,put,50,39.7,72.1,PDE_PUT_UNDERVALUED_-47.25,TAKE_PROFIT,1620.0,1549.3,70.69,2,True
12,2023-11-24,2023-11-28,NIFTY,19650.0,put,50,59.15,34.6,PDE_PUT_UNDERVALUED_-35.39,STOP_LOSS,-1227.5,-1309.71,82.21,1,False
13,2023-11-28,2023-11-30,NIFTY,19750.0,put,50,52.7,52.7,PDE_PUT_UNDERVALUED_-67.10,MEAN_REVERTED,0.0,-78.39,78.39,2,False
14,2023-11-30,2023-12-04,NIFTY,20000.0,put,50,61.8,61.8,PDE_PUT_UNDERVALUED_-42.63,MEAN_REVERTED,0.0,-83.78,83.78,2,False
15,2023-12-04,2023-12-06,NIFTY,20550.0,put,50,92.45,92.45,PDE_PUT_UNDERVALUED_-12.84,MEAN_REVERTED,0.0,-101.92,101.92,2,False
16,2023-12-06,2023-12-13,NIFTY,20800.0,put,50,69.4,52.15,PDE_PUT_UNDERVALUED_-26.69,TIME_EXPIRY,-862.5,-950.78,88.28,5,False
17,2023-12-13,2023-12-15,NIFTY,20800.0,put,50,52.15,52.15,PDE_PUT_UNDERVALUED_-38.03,MEAN_REVERTED,0.0,-78.06,78.06,2,False
18,2023-12-15,2023-12-20,NIFTY,21350.0,put,50,103.45,215.25,PDE_PUT_UNDERVALUED_-55.29,TAKE_PROFIT,5590.0,5481.57,108.42,3,True
19,2023-12-20,2023-12-21,NIFTY,21050.0,put,50,86.95,46.6,PDE_PUT_UNDERVALUED_-36.35,STOP_LOSS,-2017.5,-2116.16,98.66,1,False
20,2023-12-21,2023-12-26,NIFTY,21150.0,put,50,69.45,69.45,PDE_PUT_UNDERVALUED_-69.45,MEAN_REVERTED,0.0,-88.31,88.31,2,False
21,2023-12-26,2023-12-28,NIFTY,21300.0,put,50,98.5,98.5,PDE_PUT_UNDERVALUED_-76.65,MEAN_REVERTED,0.0,-105.5,105.5,2,False
22,2023-12-28,2023-12-29,NIFTY,21650.0,put,50,85.05,144.7,PDE_PUT_UNDERVALUED_-41.04,TAKE_PROFIT,2982.5,2884.96,97.54,1,True
23,2023-12-29,2024-01-04,NIFTY,21600.0,put,50,126.75,80.45,PDE_PUT_UNDERVALUED_-49.48,STOP_LOSS,-2315.0,-2437.22,122.22,4,False
24,2024-01-04,2024-01-08,NIFTY,21550.0,put,50,62.55,170.85,PDE_PUT_UNDERVALUED_-24.30,TAKE_PROFIT,5415.0,5330.78,84.22,2,True
25,2024-01-09,2024-01-10,NIFTY,21450.0,put,50,107.2,63.35,PDE_PUT_UNDERVALUED_-5.35,STOP_LOSS,-2192.5,-2303.14,110.64,1,False
26,2024-01-10,2024-01-12,NIFTY,21500.0,put,50,77.4,77.4,PDE_PUT_UNDERVALUED_-31.89,MEAN_REVERTED,0.0,-93.01,93.01,2,False
27,2024-01-12,2024-01-16,NIFTY,21750.0,put,50,123.55,123.55,PDE_PUT_UNDERVALUED_-6.19,MEAN_REVERTED,0.0,-120.32,120.32,2,False
28,2024-01-18,2024-01-23,NIFTY,21350.0,put,50,93.1,276.65,PDE_PUT_UNDERVALUED_-43.46,TAKE_PROFIT,9177.5,9075.2,102.3,2,True
29,2024-01-24,2024-01-29,NIFTY,21350.0,put,50,126.4,126.4,PDE_PUT_UNDERVALUED_-57.09,MEAN_REVERTED,0.0,-122.01,122.01,2,False
30,2024-01-29,2024-02-02,NIFTY,21600.0,put,50,182.3,115.75,PDE_PUT_UNDERVALUED_-24.14,STOP_LOSS,-3327.5,-3482.6,155.09,4,False
31,2024-02-02,2024-02-07,NIFTY,21750.0,put,50,162.45,103.4,PDE_PUT_UNDERVALUED_-9.50,STOP_LOSS,-2952.5,-3095.84,143.34,3,False
32,2024-02-08,2024-02-12,NIFTY,21600.0,put,50,109.7,188.5,PDE_PUT_UNDERVALUED_-23.98,TAKE_PROFIT,3940.0,3827.88,112.13,2,True
33,2024-02-12,2024-02-13,NIFTY,21500.0,put,50,153.8,93.3,PDE_PUT_UNDERVALUED_-6.21,STOP_LOSS,-3025.0,-3163.23,138.22,1,False
34,2024-02-13,2024-02-14,NIFTY,21600.0,put,50,120.8,76.75,PDE_PUT_UNDERVALUED_-8.68,STOP_LOSS,-2202.5,-2321.2,118.69,1,False
35,2024-02-14,2024-02-15,NIFTY,21700.0,put,50,104.45,61.65,PDE_PUT_UNDERVALUED_-16.06,STOP_LOSS,-2140.0,-2249.02,109.02,1,False
36,2024-02-15,2024-02-19,NIFTY,21800.0,put,50,88.3,88.3,PDE_PUT_UNDERVALUED_-39.70,MEAN_REVERTED,0.0,-99.46,99.46,2,False
37,2024-02-19,2024-02-22,NIFTY,22000.0,put,50,145.95,76.65,PDE_PUT_UNDERVALUED_-10.86,STOP_LOSS,-3465.0,-3598.58,133.58,3,False
38,2024-02-23,2024-02-28,NIFTY,22100.0,put,50,145.4,253.75,PDE_PUT_UNDERVALUED_-35.81,TAKE_PROFIT,5417.5,5284.24,133.25,3,True
