trade_id,entry_date,exit_date,symbol,strike,option_type,quantity,entry_price,exit_price,entry_signal,exit_signal,pnl_gross,pnl_net,friction_paid,holding_bars,is_win
1,2023-10-30,2023-11-01,NIFTY,19000.0,put,50,77.3,125.35,HYBRID_PDE_UNDERVALUED_MACD_BEAR,TAKE_PROFIT,2402.5,2309.55,92.95,2,True
2,2023-11-02,2023-11-06,NIFTY,19000.0,put,50,43.9,43.9,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-73.18,73.18,2,False
3,2023-11-06,2023-11-13,NIFTY,19300.0,put,50,62.6,49.0,HYBRID_PDE_UNDERVALUED_MACD_BEAR,TIME_EXPIRY,-680.0,-764.25,84.25,5,False
4,2024-01-04,2024-01-08,NIFTY,21550.0,put,50,62.55,170.85,HYBRID_PDE_UNDERVALUED_MACD_BEAR,TAKE_PROFIT,5415.0,5330.78,84.22,2,True
5,2024-01-09,2024-01-10,NIFTY,21450.0,put,50,107.2,63.35,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-2192.5,-2303.14,110.64,1,False
6,2024-01-10,2024-01-12,NIFTY,21500.0,put,50,77.4,77.4,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-93.01,93.01,2,False
7,2024-01-12,2024-01-16,NIFTY,21750.0,put,50,123.55,123.55,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-120.32,120.32,2,False
8,2024-01-18,2024-01-23,NIFTY,21350.0,put,50,93.1,276.65,HYBRID_PDE_UNDERVALUED_MACD_BEAR,TAKE_PROFIT,9177.5,9075.2,102.3,2,True
9,2024-01-24,2024-01-29,NIFTY,21350.0,put,50,126.4,126.4,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-122.01,122.01,2,False
10,2024-01-29,2024-02-02,NIFTY,21600.0,put,50,182.3,115.75,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-3327.5,-3482.6,155.09,4,False
11,2024-02-02,2024-02-07,NIFTY,21750.0,put,50,162.45,103.4,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-2952.5,-3095.84,143.34,3,False
12,2024-02-08,2024-02-12,NIFTY,21600.0,put,50,109.7,188.5,HYBRID_PDE_UNDERVALUED_MACD_BEAR,TAKE_PROFIT,3940.0,3827.88,112.13,2,True
13,2024-02-12,2024-02-13,NIFTY,21500.0,put,50,153.8,93.3,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-3025.0,-3163.23,138.22,1,False
14,2024-02-13,2024-02-14,NIFTY,21600.0,put,50,120.8,76.75,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-2202.5,-2321.2,118.69,1,False
15,2024-02-14,2024-02-15,NIFTY,21700.0,put,50,104.45,61.65,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-2140.0,-2249.02,109.02,1,False
16,2024-02-15,2024-02-19,NIFTY,21800.0,put,50,88.3,88.3,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-99.46,99.46,2,False
17,2024-02-28,2024-02-29,NIFTY,21850.0,put,50,142.95,84.85,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-2905.0,-3036.8,131.81,1,False
18,2024-02-29,2024-03-04,NIFTY,21850.0,put,50,84.85,84.85,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-97.42,97.42,2,False
19,2024-03-13,2024-03-19,NIFTY,21850.0,put,50,104.85,168.6,HYBRID_PDE_UNDERVALUED_MACD_BEAR,TAKE_PROFIT,3187.5,3078.24,109.25,4,True
20,2024-03-19,2024-03-21,NIFTY,21700.0,put,50,111.55,111.55,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-113.22,113.22,2,False
21,2024-03-21,2024-03-28,NIFTY,21900.0,put,50,59.1,59.1,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-82.18,82.18,4,False
22,2024-03-28,2024-04-04,NIFTY,22200.0,put,50,67.6,67.6,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-87.21,87.21,4,False
23,2024-04-16,2024-04-19,NIFTY,22000.0,put,50,95.4,151.65,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,2812.5,2708.84,103.66,2,True
24,2024-04-22,2024-04-24,NIFTY,22200.0,put,50,105.6,61.9,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-2185.0,-2294.7,109.7,2,False
25,2024-04-24,2024-04-25,NIFTY,22300.0,put,50,89.15,52.85,HYBRID_PDE_UNDERVALUED_MACD_BEAR,STOP_LOSS,-1815.0,-1914.97,99.97,1,False
26,2024-04-26,2024-04-30,NIFTY,22300.0,put,50,110.5,110.5,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-112.6,112.6,2,False
27,2024-05-08,2024-05-09,NIFTY,22200.0,put,50,114.85,270.05,HYBRID_PDE_UNDERVALUED_MACD_BEAR,TAKE_PROFIT,7760.0,7644.83,115.18,1,True
28,2024-05-09,2024-05-14,NIFTY,21850.0,put,50,105.45,105.45,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-109.61,109.61,3,False
29,2024-05-14,2024-05-16,NIFTY,22100.0,put,50,113.25,113.25,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-114.22,114.22,2,False
30,2024-06-04,2024-06-06,NIFTY,21750.0,put,50,154.7,154.7,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-138.76,138.76,2,False
31,2024-06-06,2024-06-10,NIFTY,22700.0,put,50,157.55,157.55,HYBRID_PDE_UNDERVALUED_MACD_BEAR,MEAN_REVERTED,0.0,-140.44,140.44,2,False
