trade_id,entry_date,exit_date,symbol,strike,option_type,quantity,entry_price,exit_price,entry_signal,exit_signal,pnl_gross,pnl_net,friction_paid,holding_bars,is_win
1,2023-10-03,2023-10-10,NIFTY,19550.0,put,50,131.2,124.0,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,-360.0,-484.85,124.85,5,False
2,2023-10-11,2023-10-18,NIFTY,19800.0,put,50,104.3,106.2,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,95.0,-13.93,108.93,5,False
3,2023-10-19,2023-10-27,NIFTY,19600.0,put,50,96.05,139.35,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,2165.0,2060.95,104.05,5,True
4,2023-10-27,2023-11-02,NIFTY,19050.0,put,50,139.35,89.75,RSI_MOMENTUM_MACD_BEAR,STOP_LOSS,-2480.0,-2609.67,129.68,4,False
5,2023-11-02,2023-11-09,NIFTY,19150.0,put,50,89.75,75.55,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,-710.0,-810.32,100.32,5,False
6,2023-11-10,2023-11-20,NIFTY,19450.0,call,50,132.05,157.7,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,1282.5,1157.14,125.35,5,True
7,2023-11-20,2023-11-28,NIFTY,19700.0,call,50,157.7,184.35,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,1332.5,1191.97,140.53,5,True
8,2023-11-28,2023-12-05,NIFTY,19900.0,call,50,184.35,178.5,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,-292.5,-448.81,156.31,5,False
9,2023-12-05,2023-12-12,NIFTY,20850.0,call,50,178.5,201.5,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,1150.0,997.15,152.84,5,True
10,2023-12-12,2023-12-19,NIFTY,20900.0,call,50,201.5,198.45,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,-152.5,-318.96,166.46,5,False
11,2023-12-19,2023-12-27,NIFTY,21450.0,call,50,198.45,239.7,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,2062.5,1897.85,164.66,5,True
12,2023-12-27,2024-01-03,NIFTY,21650.0,call,50,239.7,173.7,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,-3300.0,-3489.07,189.06,5,False
13,2024-01-03,2024-01-10,NIFTY,21500.0,put,50,142.1,111.4,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,-1535.0,-1666.3,131.3,5,False
14,2024-01-10,2024-01-12,NIFTY,21600.0,put,50,111.4,180.15,RSI_MOMENTUM_MACD_BEAR,TAKE_PROFIT,3437.5,3324.37,113.13,2,True
15,2024-01-12,2024-01-19,NIFTY,21900.0,put,50,180.15,178.75,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,-70.0,-223.82,153.82,5,False
16,2024-01-19,2024-01-30,NIFTY,21600.0,put,50,178.75,226.75,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,2400.0,2247.01,153.0,5,True
17,2024-01-31,2024-02-07,NIFTY,21750.0,put,50,247.55,182.3,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,-3262.5,-3456.21,193.71,5,False
18,2024-02-07,2024-02-14,NIFTY,21950.0,call,50,195.3,201.4,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,305.0,142.21,162.79,5,True
19,2024-02-14,2024-02-21,NIFTY,21850.0,put,50,159.95,176.4,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,822.5,680.64,141.87,5,True
20,2024-02-21,2024-02-28,NIFTY,22050.0,call,50,199.9,228.5,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,1430.0,1264.49,165.51,5,True
21,2024-03-01,2024-03-06,NIFTY,22350.0,put,50,214.45,124.7,RSI_MOMENTUM_MACD_BEAR,STOP_LOSS,-4487.5,-4661.62,174.12,3,False
22,2024-03-06,2024-03-07,NIFTY,22450.0,call,50,209.75,125.75,RSI_MOMENTUM_MACD_BULL,STOP_LOSS,-4200.0,-4371.34,171.34,1,False
23,2024-03-07,2024-03-11,NIFTY,22500.0,call,50,125.75,212.05,RSI_MOMENTUM_MACD_BULL,TAKE_PROFIT,4315.0,4193.38,121.62,1,True
